"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 08- 05","5,905","6,025","6,075","5,905","1.89M","-0.42%"
"2024- 08- 02","5,930","5,935","5,960","5,880","515.11K","-0.84%"
"2024- 08- 01","5,980","5,940","6,010","5,940","1.36M","1.61%"
"2024- 07- 31","5,885","5,825","5,885","5,820","629.43K","1.12%"
"2024- 07- 30","5,820","5,850","5,850","5,810","769.71K","-0.51%"
"2024- 07- 29","5,850","5,815","5,860","5,810","612.75K","0.60%"
"2024- 07- 26","5,815","5,820","5,840","5,800","488.03K","0.00%"
"2024- 07- 25","5,815","5,825","5,835","5,795","479.79K","-0.26%"
"2024- 07- 24","5,830","5,810","5,840","5,800","429.46K","0.26%"
"2024- 07- 23","5,815","5,805","5,840","5,800","702.65K","0.26%"
"2024- 07- 22","5,800","5,805","5,810","5,780","535.62K","-0.17%"
"2024- 07- 19","5,810","5,815","5,825","5,800","988.94K","-0.77%"
"2024- 07- 18","5,855","5,880","5,895","5,850","459.35K","0.09%"
"2024- 07- 17","5,850","5,830","5,870","5,830","489.68K","0.43%"
"2024- 07- 16","5,825","5,835","5,835","5,810","381.08K","-0.26%"
"2024- 07- 15","5,840","5,885","5,890","5,840","571.39K","-0.60%"
"2024- 07- 12","5,875","5,920","5,940","5,870","640.36K","0.00%"
"2024- 07- 11","5,875","5,845","5,890","5,840","724.25K","0.95%"
"2024- 07- 10","5,820","5,840","5,840","5,805","770.31K","-0.43%"
"2024- 07- 09","5,845","5,845","5,860","5,820","502.19K","0.00%"
"2024- 07- 08","5,845","5,885","5,895","5,845","318.84K","-0.34%"
"2024- 07- 05","5,865","5,870","5,890","5,855","721.58K","0.09%"
"2024- 07- 04","5,860","5,815","5,865","5,810","1.26M","1.30%"
"2024- 07- 03","5,785","5,815","5,825","5,770","781.82K","-0.34%"
"2024- 07- 02","5,805","5,845","5,845","5,785","626.00K","-1.02%"
"2024- 07- 01","5,865","5,850","5,890","5,835","365.80K","-0.34%"
"2024- 06- 28","5,885","5,815","5,890","5,800","1.33M","1.20%"
"2024- 06- 27","5,815","5,770","5,820","5,765","1.00M","0.17%"
"2024- 06- 26","5,805","5,790","5,805","5,780","557.72K","-0.26%"
"2024- 06- 25","5,820","5,825","5,840","5,805","403.84K","0.34%"
"2024- 06- 24","5,800","5,785","5,805","5,775","480.95K","-0.26%"
"2024- 06- 21","5,815","5,785","5,825","5,770","1.15M","-0.43%"
"2024- 06- 20","5,840","5,865","5,865","5,830","1.07M","-0.51%"
